交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2018/10/26,TXO,201811  ,11100.0000,買權,2.7,3.2,2.4,3.1,9,-,-,1,2.9,227,1.8,,盤後,
2018/10/26,TXO,201811  ,11100.0000,賣權,1670,1750,1670,1680,34,1680,110,1660,1710,1750,214,,一般,
2018/10/26,TXO,201811  ,11100.0000,賣權,1580,1580,1580,1580,5,-,-,1100,-,1580,214,,盤後,
2018/10/26,TXO,201811  ,11200.0000,買權,2,2.2,1.7,1.9,502,1.9,3443,0.1,1.9,250,1.6,,一般,
2018/10/26,TXO,201811  ,11200.0000,買權,1.7,1.7,1.6,1.6,2,-,-,2,3.1,250,1.6,,盤後,
2018/10/26,TXO,201811  ,11200.0000,賣權,-,-,-,-,0,1780,60,-,-,-,-,,一般,
2018/10/26,TXO,201811  ,11200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,11300.0000,買權,1.7,2,1.7,1.7,135,1.7,3898,1,1.8,141,1.5,,一般,
2018/10/26,TXO,201811  ,11300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,11300.0000,賣權,-,-,-,-,0,1880,61,-,-,-,-,,一般,
2018/10/26,TXO,201811  ,11300.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,11400.0000,買權,1.4,1.6,1.3,1.4,177,1.4,2937,1.1,1.6,100,0.4,,一般,
